seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	3567711	3567721	11	*	X00067	7161	3569129	3652765	83637	+	1407	upstream	1407	TP73
chr1	3773790	3773800	11	*	X00069	1677	3773845	3801993	28149	+	44	upstream	44	DFFB
chr1	3773790	3773800	11	*	X00069	9731	3728645	3773797	45153	-	0	overlapStart	0	CEP104
chr1	6051652	6051660	9	*	X00071	8514	6052358	6161253	108896	+	697	upstream	697	KCNAB2
chr1	6053479	6053487	9	*	X00072	261734	5922870	6052533	129664	-	945	upstream	945	NPHP4
chr1	6260505	6260513	9	*	X00074	6146	6245080	6259679	14600	-	825	upstream	825	RPL22
chr1	6454198	6454206	9	*	X00079	11332	6324332	6453826	129495	-	371	upstream	371	ACOT7
chr1	8021752	8021764	13	*	X00093	11315	8021714	8045342	23629	+	0	inside	37	PARK7
chr1	8938332	8938340	9	*	X00101	100505975	8938894	8939943	1050	+	553	upstream	553	ENO1-AS1
chr1	8938432	8938440	9	*	X00102	100505975	8938894	8939943	1050	+	453	upstream	453	ENO1-AS1
chr1	9189135	9189143	9	*	X00103	80045	9164476	9189229	24754	-	0	inside	85	GPR157
chr1	9294419	9294427	9	*	X00106	9563	9294863	9331394	36532	+	435	upstream	435	H6PD
chr1	9294983	9294991	9	*	X00107	9563	9294863	9331394	36532	+	0	inside	119	H6PD
chr1	9884726	9884734	9	*	X00119	22883	9789079	9884550	95472	-	175	upstream	175	CLSTN1
chr1	9884950	9884959	10	*	X00120	22883	9789079	9884550	95472	-	399	upstream	399	CLSTN1
chr1	10003456	10003464	9	*	X00121	64802	10003486	10045556	42071	+	21	upstream	21	NMNAT1
chr1	10003456	10003464	9	*	X00121	84328	9989776	10003427	13652	-	28	upstream	28	LZIC
chr1	10490250	10490261	12	*	X00125	100526739	10490159	10512060	21902	+	0	inside	90	CENPS-CORT
chr1	10490250	10490261	12	*	X00125	378708	10490159	10502872	12714	+	0	inside	90	CENPS
chr1	10532842	10532850	9	*	X00126	1676	10520603	10532613	12011	-	228	upstream	228	DFFA
chr1	10856669	10856678	10	*	X00131	54897	10696666	10856733	160068	-	0	inside	54	CASZ1
chr1	11159943	11159953	11	*	X00132	5394	11126676	11159938	33263	-	4	upstream	4	EXOSC10
chr1	11715947	11715956	10	*	X00136	26232	11708418	11714888	6471	-	1058	upstream	1058	FBXO2
chr1	11750988	11751004	17	*	X00137	374946	11751781	11780336	28556	+	776	upstream	776	DRAXIN
chr1	11751007	11751018	12	*	X00138	374946	11751781	11780336	28556	+	762	upstream	762	DRAXIN
chr1	12123551	12123559	9	*	X00142	943	12123434	12204264	80831	+	0	inside	116	TNFRSF8
chr1	12677748	12677759	12	*	X00147	9249	12627939	12677820	49882	-	0	inside	60	DHRS3
chr1	14924582	14924590	9	*	X00152	23254	14925213	15444544	519332	+	622	upstream	622	KAZN
chr1	15479887	15479915	29	*	X00153	200197	15438311	15478960	40650	-	926	upstream	926	TMEM51-AS1
chr1	15480903	15480912	10	*	X00154	200197	15438311	15478960	40650	-	1942	upstream	1942	TMEM51-AS1
chr1	15480915	15480924	10	*	X00155	200197	15438311	15478960	40650	-	1954	upstream	1954	TMEM51-AS1
chr1	15736291	15736300	10	*	X00157	79180	15736391	15756839	20449	+	90	upstream	90	EFHD2
chr1	15911544	15911554	11	*	X00160	79814	15898194	15911605	13412	-	0	inside	50	AGMAT
chr1	16174141	16174151	11	*	X00167	23013	16174359	16266950	92592	+	207	upstream	207	SPEN
chr1	16400793	16400801	9	*	X00170	348487	16384264	16400127	15864	-	665	upstream	665	FAM131C
chr1	16400880	16400892	13	*	X00171	348487	16384264	16400127	15864	-	752	upstream	752	FAM131C
chr1	16679007	16679017	11	*	X00174	54455	16576559	16678948	102390	-	58	upstream	58	FBXO42
chr1	16971219	16971228	10	*	X00179	11209	16972069	16976915	4847	+	840	upstream	840	MST1P2
chr1	16971219	16971228	10	*	X00179	84809	16944751	16971178	26428	-	40	upstream	40	CROCCP2
chr1	16971250	16971261	12	*	X00180	11209	16972069	16976915	4847	+	807	upstream	807	MST1P2
chr1	16971250	16971261	12	*	X00180	84809	16944751	16971178	26428	-	71	upstream	71	CROCCP2
chr1	19812442	19812451	10	*	X00196	832	19665267	19812066	146800	-	375	upstream	375	CAPZB
chr1	19991386	19991394	9	*	X00197	3362	19991780	20006055	14276	+	385	upstream	385	HTR6
chr1	20617660	20617670	11	*	X00198	127731	20617412	20681387	63976	+	0	inside	247	VWA5B1
chr1	20617673	20617691	19	*	X00199	127731	20617412	20681387	63976	+	0	inside	260	VWA5B1
chr1	20812998	20813007	10	*	X00200	55450	20808884	20812728	3845	-	269	upstream	269	CAMK2N1
chr1	20987870	20987880	11	*	X00201	1650	20978260	20988037	9778	-	0	inside	156	DDOST
chr1	21044097	21044106	10	*	X00202	57576	20990507	21044317	53811	-	0	inside	210	KIF17
chr1	21672379	21672442	64	*	X00207	1889	21543740	21672034	128295	-	344	upstream	344	ECE1
chr1	21672560	21672573	14	*	X00208	1889	21543740	21672034	128295	-	525	upstream	525	ECE1
chr1	21672598	21672607	10	*	X00209	1889	21543740	21672034	128295	-	563	upstream	563	ECE1
chr1	21672632	21672643	12	*	X00210	1889	21543740	21672034	128295	-	597	upstream	597	ECE1
chr1	21672668	21672707	40	*	X00211	1889	21543740	21672034	128295	-	633	upstream	633	ECE1
chr1	21672970	21672981	12	*	X00212	1889	21543740	21672034	128295	-	935	upstream	935	ECE1
chr1	21673006	21673015	10	*	X00213	1889	21543740	21672034	128295	-	971	upstream	971	ECE1
chr1	21673080	21673091	12	*	X00214	1889	21543740	21672034	128295	-	1045	upstream	1045	ECE1
chr1	22109964	22109973	10	*	X00220	84196	22004792	22109688	104897	-	275	upstream	275	USP48
chr1	22264240	22264250	11	*	X00221	3339	22148737	22263750	115014	-	489	upstream	489	HSPG2
chr1	22264267	22264278	12	*	X00222	3339	22148737	22263750	115014	-	516	upstream	516	HSPG2
chr1	22889673	22889682	10	*	X00223	2046	22890004	22930087	40084	+	321	upstream	321	EPHA8
chr1	22889827	22889840	14	*	X00224	2046	22890004	22930087	40084	+	163	upstream	163	EPHA8
chr1	23345963	23345971	9	*	X00225	23028	23345941	23410184	64244	+	0	inside	21	KDM1A
chr1	23670777	23670785	9	*	X00228	10236	23636276	23670853	34578	-	0	inside	67	HNRNPR
chr1	23751670	23751717	48	*	X00230	6920	23707555	23751261	43707	-	408	upstream	408	TCEA3
chr1	23751762	23751770	9	*	X00231	6920	23707555	23751261	43707	-	500	upstream	500	TCEA3
chr1	23811475	23811485	11	*	X00232	55616	23755056	23811057	56002	-	417	upstream	417	ASAP3
chr1	23885990	23886000	11	*	X00233	3399	23884421	23886285	1865	-	0	inside	284	ID3
chr1	24069764	24069772	9	*	X00235	6924	24069856	24088549	18694	+	83	upstream	83	ELOA
chr1	24286010	24286018	9	*	X00236	55629	24286301	24289949	3649	+	282	upstream	282	PNRC2
chr1	24514541	24514549	9	*	X00237	163702	24480647	24513765	33119	-	775	upstream	775	IFNLR1
chr1	24969635	24969647	13	*	X00238	10250	24969594	24999772	30179	+	0	inside	40	SRRM1
chr1	25756806	25756816	11	*	X00239	55219	25757388	25826698	69311	+	571	upstream	571	MACO1
chr1	25756806	25756816	11	*	X00239	6006	25688740	25756683	67944	-	122	upstream	122	RHCE
chr1	25870283	25870293	11	*	X00240	26119	25870076	25895377	25302	+	0	inside	206	LDLRAP1
chr1	25943743	25943753	11	*	X00241	57134	25943959	26111258	167300	+	205	upstream	205	MAN1C1
chr1	26145879	26145921	43	*	X00242	56181	26146397	26159433	13037	+	475	upstream	475	MTFR1L
chr1	26496199	26496207	9	*	X00247	51042	26496388	26497364	977	+	180	upstream	180	ZNF593
chr1	26496418	26496427	10	*	X00248	51042	26496388	26497364	977	+	0	inside	29	ZNF593
chr1	26735771	26735795	25	*	X00250	79727	26737269	26756219	18951	+	1473	upstream	1473	LIN28A
chr1	26735798	26735807	10	*	X00251	79727	26737269	26756219	18951	+	1461	upstream	1461	LIN28A
chr1	26736870	26736909	40	*	X00252	79727	26737269	26756219	18951	+	359	upstream	359	LIN28A
chr1	26737049	26737057	9	*	X00253	79727	26737269	26756219	18951	+	211	upstream	211	LIN28A
chr1	27248207	27248220	14	*	X00259	10726	27248213	27273362	25150	+	0	overlapStart	0	NUDC
chr1	27561185	27561194	10	*	X00262	23038	27561007	27635124	74118	+	0	inside	177	WDTC1
chr1	27649047	27649055	9	*	X00264	644961	27650365	27653016	2652	+	1309	upstream	1309	ACTG1P20
chr1	27930182	27930191	10	*	X00278	27245	27860756	27930361	69606	-	0	inside	169	AHDC1
chr1	27930706	27930715	10	*	X00279	27245	27860756	27930361	69606	-	344	upstream	344	AHDC1
chr1	27931321	27931329	9	*	X00280	27245	27860756	27930361	69606	-	959	upstream	959	AHDC1
chr1	28099661	28099671	11	*	X00281	23673	28099694	28150963	51270	+	22	upstream	22	STX12
chr1	28099691	28099700	10	*	X00282	23673	28099694	28150963	51270	+	0	overlapStart	0	STX12
chr1	28286096	28286104	9	*	X00283	55113	28286504	28294604	8101	+	399	upstream	399	XKR8
chr1	28832479	28832489	11	*	X00284	1104	28832455	28865708	33254	+	0	inside	23	RCC1
chr1	28832479	28832489	11	*	X00284	8420	28832455	28837404	4950	+	0	inside	23	SNHG3
chr1	28878806	28878821	16	*	X00286	54952	28879529	28905057	25529	+	707	upstream	707	TRNAU1AP
chr1	28878911	28878926	16	*	X00287	54952	28879529	28905057	25529	+	602	upstream	602	TRNAU1AP
chr1	28879250	28879260	11	*	X00288	54952	28879529	28905057	25529	+	268	upstream	268	TRNAU1AP
chr1	28879290	28879300	11	*	X00289	54952	28879529	28905057	25529	+	228	upstream	228	TRNAU1AP
chr1	28908528	28908536	9	*	X00290	677825	28906893	28907024	132	-	1503	upstream	1503	SNORA44
chr1	28908528	28908536	9	*	X00290	692073	28907432	28907565	134	-	962	upstream	962	SNORA16A
chr1	28908528	28908536	9	*	X00290	85028	28905050	28908383	3334	-	144	upstream	144	SNHG12
chr1	29063409	29063417	9	*	X00291	51441	29063133	29096287	33155	+	0	inside	275	YTHDF2
chr1	31381997	31382006	10	*	X00308	9672	31342313	31381480	39168	-	516	upstream	516	SDC3
chr1	32230632	32230641	10	*	X00315	576	32192718	32229648	36931	-	983	upstream	983	ADGRB2
chr1	32403956	32403964	9	*	X00324	8073	32372022	32403988	31967	-	0	inside	23	PTP4A2
chr1	32479437	32479448	12	*	X00325	10657	32479295	32526460	47166	+	0	inside	141	KHDRBS1
chr1	32645549	32645557	9	*	X00326	200081	32645345	32663886	18542	+	0	inside	203	TXLNA
chr1	32670576	32670590	15	*	X00327	55721	32671236	32674288	3053	+	645	upstream	645	IQCC
chr1	32860746	32860754	9	*	X00329	55108	32830705	32860062	29358	-	683	upstream	683	BSDC1
chr1	33116825	33116833	9	*	X00331	339487	33065773	33116185	50413	-	639	upstream	639	ZBTB8OS
chr1	33116825	33116833	9	*	X00331	5928	33116749	33151812	35064	+	0	inside	75	RBBP4
chr1	33502495	33502505	11	*	X00337	204	33473541	33502512	28972	-	0	inside	6	AK2
chr1	33648203	33648236	34	*	X00338	55223	33611003	33647671	36669	-	531	upstream	531	TRIM62
chr1	33896555	33896565	11	*	X00343	1912	33789224	33896615	107392	-	0	inside	49	PHC2
chr1	34631185	34631199	15	*	X00345	114784	33979609	34631443	651835	-	0	inside	243	CSMD2
chr1	34631185	34631199	15	*	X00345	84970	34632624	34684731	52108	+	1424	upstream	1424	C1orf94
chr1	34631202	34631219	18	*	X00346	114784	33979609	34631443	651835	-	0	inside	223	CSMD2
chr1	34631202	34631219	18	*	X00346	84970	34632624	34684731	52108	+	1404	upstream	1404	C1orf94
chr1	34631230	34631238	9	*	X00347	114784	33979609	34631443	651835	-	0	inside	204	CSMD2
chr1	34631230	34631238	9	*	X00347	84970	34632624	34684731	52108	+	1385	upstream	1385	C1orf94
chr1	34631241	34631249	9	*	X00348	114784	33979609	34631443	651835	-	0	inside	193	CSMD2
chr1	34631241	34631249	9	*	X00348	84970	34632624	34684731	52108	+	1374	upstream	1374	C1orf94
chr1	34631258	34631266	9	*	X00349	114784	33979609	34631443	651835	-	0	inside	176	CSMD2
chr1	34631258	34631266	9	*	X00349	84970	34632624	34684731	52108	+	1357	upstream	1357	C1orf94
chr1	34631450	34631460	11	*	X00350	114784	33979609	34631443	651835	-	6	upstream	6	CSMD2
chr1	34631450	34631460	11	*	X00350	84970	34632624	34684731	52108	+	1163	upstream	1163	C1orf94
chr1	34631604	34631614	11	*	X00351	114784	33979609	34631443	651835	-	160	upstream	160	CSMD2
chr1	34631604	34631614	11	*	X00351	84970	34632624	34684731	52108	+	1009	upstream	1009	C1orf94
chr1	36038448	36038455	8	*	X00358	339488	36038971	36060927	21957	+	515	upstream	515	TFAP2E
chr1	36038463	36038471	9	*	X00359	339488	36038971	36060927	21957	+	499	upstream	499	TFAP2E
chr1	36789972	36789980	9	*	X00370	55194	36787632	36789755	2124	-	216	upstream	216	EVA1B
chr1	36852459	36852467	9	*	X00371	83931	36805225	36851485	46261	-	973	upstream	973	STK40
chr1	37500237	37500244	8	*	X00373	2899	37261128	37499844	238717	-	392	upstream	392	GRIK3
chr1	37939113	37939143	31	*	X00375	80149	37940119	37949978	9860	+	975	upstream	975	ZC3H12A
chr1	37980429	37980437	9	*	X00377	64769	37955561	37980420	24860	-	8	upstream	8	MEAF6
chr1	38061531	38061541	11	*	X00378	29889	38032413	38061586	29174	-	0	inside	44	GNL2
chr1	38231344	38231390	47	*	X00380	284656	38179553	38230824	51272	-	519	upstream	519	EPHA10
chr1	38232245	38232254	10	*	X00381	284656	38179553	38230824	51272	-	1420	upstream	1420	EPHA10
chr1	38232277	38232286	10	*	X00382	284656	38179553	38230824	51272	-	1452	upstream	1452	EPHA10
chr1	38478110	38478119	10	*	X00388	51118	38478384	38490497	12114	+	264	upstream	264	UTP11
chr1	39338879	39338887	9	*	X00392	26292	39328162	39339050	10889	-	0	inside	162	MYCBP
chr1	40042757	40042767	11	*	X00396	8761	40026485	40042521	16037	-	235	upstream	235	PABPC4
chr1	40137835	40137843	9	*	X00397	84618	40124793	40137710	12918	-	124	upstream	124	NT5C1A
chr1	40254854	40254862	9	*	X00400	656	40223903	40254533	30631	-	320	upstream	320	BMP8B
chr1	40367548	40367559	12	*	X00401	4610	40361096	40367687	6592	-	0	inside	127	MYCL
chr1	40367607	40367616	10	*	X00402	4610	40361096	40367687	6592	-	0	inside	70	MYCL
chr1	40782907	40782916	10	*	X00404	1298	40766163	40783060	16898	-	0	inside	143	COL9A2
chr1	40997307	40997316	10	*	X00406	127396	40997233	41013841	16609	+	0	inside	73	ZNF684
chr1	41157035	41157045	11	*	X00408	4802	41157242	41237276	80035	+	196	upstream	196	NFYC
chr1	41157073	41157085	13	*	X00409	4802	41157242	41237276	80035	+	156	upstream	156	NFYC
chr1	41249076	41249084	9	*	X00410	9132	41249684	41306124	56441	+	599	upstream	599	KCNQ4
chr1	42501798	42501806	9	*	X00418	59269	41972036	42501596	529561	-	201	upstream	201	HIVEP3
chr1	43231694	43231704	11	*	X00422	79078	43232916	43241413	8498	+	1211	upstream	1211	C1orf50
chr1	43283057	43283067	11	*	X00423	114625	43282776	43310660	27885	+	0	inside	280	ERMAP
chr1	43283057	43283067	11	*	X00423	374969	43272723	43283059	10337	-	0	overlapStart	0	SVBP
chr1	43423473	43423481	9	*	X00424	440584	43424720	43449029	24310	+	1238	upstream	1238	SLC2A1-AS1
chr1	43424799	43424807	9	*	X00425	440584	43424720	43449029	24310	+	0	inside	78	SLC2A1-AS1
chr1	43424799	43424807	9	*	X00425	6513	43391046	43424847	33802	-	0	inside	39	SLC2A1
chr1	43637796	43637805	10	*	X00426	149465	43638001	43720029	82029	+	195	upstream	195	CFAP57
chr1	43920150	43920167	18	*	X00432	81888	43916674	43919660	2987	-	489	upstream	489	HYI
chr1	44496840	44496877	38	*	X00444	6536	44457172	44497164	39993	-	0	inside	286	SLC6A9
chr1	44870863	44870898	36	*	X00445	55182	44870960	45117396	246437	+	61	upstream	61	RNF220
chr1	44871229	44871239	11	*	X00446	55182	44870960	45117396	246437	+	0	inside	268	RNF220
chr1	45009302	45009310	9	*	X00452	100847089	45011165	45011224	60	+	1854	upstream	1854	MIR5584
chr1	45308381	45308392	12	*	X00454	8643	45285516	45308616	23101	-	0	inside	223	PTCH2
chr1	45452441	45452449	9	*	X00455	8891	45316194	45452394	136201	-	46	upstream	46	EIF2B3
chr1	45476614	45476623	10	*	X00456	7389	45477805	45481341	3537	+	1181	upstream	1181	UROD
chr1	45792163	45792177	15	*	X00457	84842	45792545	45794346	1802	+	367	upstream	367	HPDL
chr1	46152743	46152752	10	*	X00464	51249	46153847	46160108	6262	+	1094	upstream	1094	TMEM69
chr1	46152743	46152752	10	*	X00464	60313	46092976	46152302	59327	-	440	upstream	440	GPBP1L1
chr1	46216308	46216316	9	*	X00465	3652	46159998	46216485	56488	-	0	inside	168	IPP
chr1	46216468	46216478	11	*	X00466	3652	46159998	46216485	56488	-	0	inside	6	IPP
chr1	46269195	46269204	10	*	X00467	23139	46269285	46501796	232512	+	80	upstream	80	MAST2
chr1	46269245	46269256	12	*	X00468	23139	46269285	46501796	232512	+	28	upstream	28	MAST2
chr1	46668594	46668630	37	*	X00469	541468	46669006	46686928	17923	+	375	upstream	375	LURAP1
chr1	46668903	46668911	9	*	X00470	541468	46669006	46686928	17923	+	94	upstream	94	LURAP1
chr1	46858878	46858890	13	*	X00471	2166	46859939	46879520	19582	+	1048	upstream	1048	FAAH
chr1	46859968	46859976	9	*	X00472	2166	46859939	46879520	19582	+	0	inside	28	FAAH
chr1	47184629	47184637	9	*	X00480	9813	47124359	47184736	60378	-	0	inside	98	EFCAB14
chr1	48463299	48463307	9	*	X00486	388630	48226200	48462562	236363	-	736	upstream	736	TRABD2B
chr1	49242438	49242448	11	*	X00487	79656	49193540	49242547	49008	-	0	inside	98	BEND5
chr1	51433863	51433864	2	*	X00492	1031	51433608	51440309	6702	+	0	inside	254	CDKN2C
chr1	53308093	53308132	40	*	X00501	440590	53308183	53360247	52065	+	50	upstream	50	ZYG11A
chr1	53392936	53392943	8	*	X00502	55268	53361582	53392851	31270	-	84	upstream	84	ECHDC2
chr1	53392936	53392943	8	*	X00502	6342	53392901	53517289	124389	+	0	inside	34	SCP2
chr1	53793821	53793829	9	*	X00507	7804	53708041	53793821	85781	-	0	overlapStart	0	LRP8
chr1	53794137	53794146	10	*	X00508	7804	53708041	53793821	85781	-	315	upstream	315	LRP8
chr1	54411890	54411901	12	*	X00512	115353	54411999	54433841	21843	+	97	upstream	97	LRRC42
chr1	54411890	54411901	12	*	X00512	51668	54387234	54411288	24055	-	601	upstream	601	HSPB11
chr1	54412000	54412011	12	*	X00513	115353	54411999	54433841	21843	+	0	inside	0	LRRC42
chr1	54412000	54412011	12	*	X00513	51668	54387234	54411288	24055	-	711	upstream	711	HSPB11
chr1	55352633	55352641	9	*	X00516	1718	55315300	55352921	37622	-	0	inside	279	DHCR24
chr1	55352760	55352769	10	*	X00517	1718	55315300	55352921	37622	-	0	inside	151	DHCR24
chr1	59248874	59248882	9	*	X00523	100131060	59250823	59365384	114562	+	1940	upstream	1940	LINC01135
chr1	59250745	59250755	11	*	X00524	100131060	59250823	59365384	114562	+	67	upstream	67	LINC01135
chr1	59250745	59250755	11	*	X00524	3725	59246463	59249785	3323	-	959	upstream	959	JUN
chr1	59250779	59250803	25	*	X00525	100131060	59250823	59365384	114562	+	19	upstream	19	LINC01135
chr1	59250779	59250803	25	*	X00525	3725	59246463	59249785	3323	-	993	upstream	993	JUN
chr1	59762081	59762089	9	*	X00526	55277	59762625	60228402	465778	+	535	upstream	535	FGGY
chr1	59762645	59762653	9	*	X00527	55277	59762625	60228402	465778	+	0	inside	19	FGGY
chr1	60280204	60280215	12	*	X00528	51361	60280463	60342050	61588	+	247	upstream	247	HOOK1
chr1	62784935	62784943	9	*	X00537	163782	62701837	62785083	83247	-	0	inside	139	KANK4
chr1	63249841	63249851	11	*	X00539	84938	63249777	63330941	81165	+	0	inside	63	ATG4C
chr1	63784717	63784725	9	*	X00540	199899	63624754	63782901	158148	-	1815	upstream	1815	LINC00466
chr1	64935068	64935077	10	*	X00545	57685	64936476	65158741	222266	+	1398	upstream	1398	CACHD1
chr1	66257611	66257617	7	*	X00560	5142	66258193	66840262	582070	+	575	upstream	575	PDE4B
chr1	70032657	70032665	9	*	X00571	57554	70032868	70589171	556304	+	202	upstream	202	LRRC7
chr1	70032703	70032745	43	*	X00572	57554	70032868	70589171	556304	+	122	upstream	122	LRRC7
chr1	70670417	70670444	28	*	X00575	9295	70671365	70717701	46337	+	920	upstream	920	SRSF11
chr1	70819687	70819695	9	*	X00576	11147	70820493	70833705	13213	+	797	upstream	797	HHLA3
chr1	71545965	71545973	9	*	X00577	100852410	71547007	71703406	156400	+	1033	upstream	1033	ZRANB2-AS2
chr1	72749336	72749344	9	*	X00578	257194	71868625	72748405	879781	-	930	upstream	930	NEGR1
chr1	72749375	72749384	10	*	X00579	257194	71868625	72748405	879781	-	969	upstream	969	NEGR1
chr1	72749399	72749407	9	*	X00580	257194	71868625	72748405	879781	-	993	upstream	993	NEGR1
chr1	72749415	72749425	11	*	X00581	257194	71868625	72748405	879781	-	1009	upstream	1009	NEGR1
chr1	75139626	75139638	13	*	X00582	127254	75033795	75139422	105628	-	203	upstream	203	ERICH3
chr1	76539872	76539881	10	*	X00587	256435	76540389	77096669	556281	+	507	upstream	507	ST6GALNAC3
chr1	77747340	77747348	9	*	X00588	26289	77747662	78025654	277993	+	313	upstream	313	AK5
chr1	78446025	78446058	34	*	X00590	8880	78412167	78444777	32611	-	1247	upstream	1247	FUBP1
chr1	84543644	84543652	9	*	X00593	5567	84543745	84704181	160437	+	92	upstream	92	PRKACB
chr1	86046147	86046179	33	*	X00604	3491	86046444	86049648	3205	+	264	upstream	264	CCN1
chr1	86046217	86046226	10	*	X00605	3491	86046444	86049648	3205	+	217	upstream	217	CCN1
chr1	86046229	86046282	54	*	X00606	3491	86046444	86049648	3205	+	161	upstream	161	CCN1
chr1	86622567	86622575	9	*	X00608	255631	86194916	86622446	427531	-	120	upstream	120	COL24A1
chr1	87379276	87379285	10	*	X00609	9653	87380335	87575681	195347	+	1049	upstream	1049	HS2ST1
chr1	89989894	89989903	10	*	X00610	23507	89990397	90063420	73024	+	493	upstream	493	LRRC8B
chr1	90098250	90098258	9	*	X00611	400761	90090408	90098453	8046	-	0	inside	194	LRRC8C-DT
chr1	90098250	90098258	9	*	X00611	84230	90098644	90185094	86451	+	385	upstream	385	LRRC8C
chr1	92495483	92495492	10	*	X00619	253152	92495533	92529093	33561	+	40	upstream	40	EPHX4
chr1	92764312	92764321	10	*	X00621	11146	92711955	92764566	52612	-	0	inside	244	GLMN
chr1	92764312	92764321	10	*	X00621	79871	92764522	92853732	89211	+	200	upstream	200	RPAP2
chr1	93544951	93544959	9	*	X00625	22823	93544792	93604638	59847	+	0	inside	158	MTF2
chr1	93646936	93646947	12	*	X00626	50999	93615299	93646246	30948	-	689	upstream	689	TMED5
chr1	93812023	93812031	9	*	X00627	100131564	93775666	93811368	35703	-	654	upstream	654	CCDC18-AS1
chr1	94312512	94312521	10	*	X00629	8412	94027343	94312706	285364	-	0	inside	184	BCAR3
chr1	94883671	94883680	10	*	X00630	5825	94883933	94984219	100287	+	252	upstream	252	ABCD3
chr1	94883785	94883795	11	*	X00631	5825	94883933	94984219	100287	+	137	upstream	137	ABCD3
chr1	99469244	99469252	9	*	X00637	100129620	99469832	99614408	144577	+	579	upstream	579	LOC100129620
chr1	100315685	100315694	10	*	X00640	178	100315640	100389579	73940	+	0	inside	44	AGL
chr1	100731328	100731336	9	*	X00641	8634	100731714	100758325	26612	+	377	upstream	377	RTCA
chr1	100731376	100731384	9	*	X00642	8634	100731714	100758325	26612	+	329	upstream	329	RTCA
chr1	101360090	101360099	10	*	X00644	148867	101361632	101447311	85680	+	1532	upstream	1532	SLC30A7
chr1	104067723	104067736	14	*	X00645	55599	104068578	104097859	29282	+	841	upstream	841	RNPC3
chr1	104067739	104067759	21	*	X00646	55599	104068578	104097859	29282	+	818	upstream	818	RNPC3
chr1	104067765	104067776	12	*	X00647	55599	104068578	104097859	29282	+	801	upstream	801	RNPC3
chr1	107599037	107599045	9	*	X00648	55170	107599267	107601916	2650	+	221	upstream	221	PRMT6
chr1	108506983	108506993	11	*	X00650	100873946	108507065	108537229	30165	+	71	upstream	71	VAV3-AS1
chr1	108508319	108508328	10	*	X00651	10451	108113782	108507545	393764	-	773	upstream	773	VAV3
chr1	109642923	109642931	9	*	X00655	677766	109642815	109643234	420	+	0	inside	107	SCARNA2
chr1	109642951	109642959	9	*	X00656	677766	109642815	109643234	420	+	0	inside	135	SCARNA2
chr1	109656324	109656332	9	*	X00657	127003	109648573	109656479	7907	-	0	inside	146	C1orf194
chr1	109656324	109656332	9	*	X00657	57535	109656585	109749403	92819	+	252	upstream	252	ELAPOR1
chr1	109825823	109825832	10	*	X00659	84722	109822176	109825808	3633	-	14	upstream	14	PSRC1
